Title = Nick News with Linda Ellerbee, popularity = 10.0
Title = BBC World News America, popularity = 10.0
Title = En Nou Wij FF, popularity = 10.0
Title = Nightly Business Report, popularity = 10.0
Title = Hjem til jul 2020, popularity = 10.0
Title = Turbo, popularity = 10.0
Title = Deadline: White House, popularity = 10.0
Title = Channel 5, popularity = 10.0
Title = Popverso, popularity = 10.0
Title = High School Stories, popularity = 10.0
Title = WBS, popularity = 10.0
Title = A Different View, popularity = 10.0
Title = Bollywood cafe, popularity = 10.0
Title = news zero, popularity = 10.0
Title = STV News at Six, popularity = 10.0
Title = Avril Lavigne, popularity = 10.0
Title = Horizonte: Informe Covid, popularity = 10.0
Title = CBC News Magazine, popularity = 10.0
Title = Big News, popularity = 10.0
Title = 60 Minutes Overtime, popularity = 10.0
Title = Bernts berättelser, popularity = 10.0
Title = Global View, popularity = 10.0
Title = Author Alan Share Show, popularity = 10.0
Title = New Year's Eve Fireworks, popularity = 10.0
Title = First Take, popularity = 10.0
Title = 凤凰大视野, popularity = 10.0
Title = The Damage Report with John Iadarola, popularity = 10.0
Title = Ros Atkins On The Week, popularity = 10.0
Title = EP Daily, popularity = 10.0
Title = Granada Reports, popularity = 10.0
Title = Huntley-Brinkley Report, popularity = 10.0
Title = Duna World News, popularity = 10.0
Title = The Agenda, popularity = 10.0
Title = Séptimo día, popularity = 10.0
Title = One News, popularity = 10.0
Title = PinkOver Recipes, popularity = 10.0
Title = VH1 Goes Inside, popularity = 10.0
Title = Nuacht RTÉ, popularity = 10.0
Title = High Chaparall, popularity = 9.5
Title = MSNBC Live, popularity = 9.5
Title = JTBC Newsroom, popularity = 9.5
Title = Tæt på sandheden med Jonatan Spang, popularity = 9.5
Title = Eating Media Lunch, popularity = 9.5
Title = Post Factum, popularity = 9.333
Title = Good News Week, popularity = 9.0
Title = The National, popularity = 9.0
Title = Borderland, popularity = 9.0
Title = Morning Joe, popularity = 9.0
Title = The 11th Hour with Brian Williams, popularity = 9.0
Title = Straight, popularity = 9.0
