Title = The Fierce Wife 2018, popularity = 10.0
Title = Ishq Tamasha, popularity = 10.0
Title = Another Power, popularity = 10.0
Title = Humnasheen, popularity = 10.0
Title = Un posto al sole, popularity = 10.0
Title = Saraswatichandra, popularity = 10.0
Title = Quatro por Quatro, popularity = 10.0
Title = Llovizna, popularity = 10.0
Title = Perfect Love, popularity = 10.0
Title = Pobre Rico, popularity = 10.0
Title = Bandini, popularity = 10.0
Title = La revancha, popularity = 10.0
Title = The Sea Sun, popularity = 10.0
Title = 北京夏天, popularity = 10.0
Title = Caça Talentos, popularity = 10.0
Title = Mujer secreta, popularity = 10.0
Title = Juana Iris, popularity = 10.0
Title = Massa Fresca, popularity = 10.0
Title = Corazon apasionado, popularity = 10.0
Title = La Marca del Deseo, popularity = 10.0
Title = Pé na Jaca, popularity = 9.8
Title = Albion Market, popularity = 9.5
Title = Tempos Modernos, popularity = 9.5
Title = Cara & Coroa, popularity = 9.5
Title = Roque Santeiro, popularity = 9.0
Title = Time After Time, popularity = 9.0
Title = Pride and Passion, popularity = 9.0
Title = Dime con quién andas, popularity = 9.0
Title = L' Edera, popularity = 9.0
Title = Samee Tee Tra, popularity = 9.0
Title = These Women, popularity = 9.0
Title = Das Pubertier, popularity = 9.0
Title = Elas por Elas, popularity = 9.0
Title = Diepe Waters, popularity = 9.0
Title = The Promise, popularity = 9.0
Title = Le cœur a ses raisons, popularity = 8.929
Title = Gaya sa Pelikula, popularity = 8.8
Title = Perla negra, popularity = 8.7
Title = Senhora do Destino, popularity = 8.6
Title = The Party, popularity = 8.6
Title = Days of Our Lives: Beyond Salem, popularity = 8.6
Title = Velho Chico, popularity = 8.583
Title = Renascer, popularity = 8.5
Title = In aller Freundschaft, popularity = 8.5
Title = Guerra dos Sexos, popularity = 8.5
Title = O Bem-Amado, popularity = 8.5
Title = Verão 90, popularity = 8.5
Title = The Five Brothers, popularity = 8.5
Title = História de Amor, popularity = 8.5
Title = Собор, popularity = 8.4
