Title = Lost In The West, popularity = 8.5
Title = Yellowstone, popularity = 8.2
Title = Deadwood, popularity = 8.109
Title = Hawkeye, popularity = 8.1
Title = Into the West, popularity = 8.009
Title = Coke Studio, popularity = 8.0
Title = Legacy, popularity = 8.0
Title = Tales of the Texas Rangers, popularity = 8.0
Title = Little House on the Prairie, popularity = 7.9
Title = Longmire, popularity = 7.774
Title = Godless, popularity = 7.724
Title = The Sacketts, popularity = 7.7
Title = Zorro, popularity = 7.6
Title = Bonanza, popularity = 7.57
Title = Billy the Kid, popularity = 7.5
Title = The Young Riders, popularity = 7.5
Title = Father Murphy, popularity = 7.5
Title = Western von gestern, popularity = 7.5
Title = Hatfields & McCoys, popularity = 7.455
Title = Lonesome Dove: The Series, popularity = 7.4
Title = Bordertown, popularity = 7.4
Title = Lonesome Dove: The Outlaw Years, popularity = 7.3
Title = The Lazarus Man, popularity = 7.3
Title = The Good Lord Bird, popularity = 7.238
Title = Rawhide, popularity = 7.2
Title = Vegas, popularity = 7.159
Title = The New Adventures of Lucky Luke, popularity = 7.158
Title = Gunslingers, popularity = 7.1
Title = Deputy, popularity = 7.012
Title = The Lone Ranger, popularity = 7.0
Title = The Leatherstocking Tales, popularity = 7.0
Title = Damnation, popularity = 6.978
Title = Wagon Train, popularity = 6.95
Title = Outer Range, popularity = 6.944
Title = Zorro: La espada y la rosa, popularity = 6.909
Title = That Dirty Black Bag, popularity = 6.903
Title = Grizzly Adams, popularity = 6.9
Title = Hey Dude, popularity = 6.9
Title = Fievel's American Tails, popularity = 6.9
Title = Outlaws, popularity = 6.9
Title = How the West Was Won, popularity = 6.886
Title = Wanted: Dead or Alive, popularity = 6.879
Title = Here Come the Brides, popularity = 6.857
Title = Walker Independence, popularity = 6.839
Title = Laramie, popularity = 6.808
Title = Branded, popularity = 6.8
Title = Hondo, popularity = 6.8
Title = Hec Ramsey, popularity = 6.8
Title = Empire, popularity = 6.8
Title = The Iron Horse, popularity = 6.8
