Dads,10.0
Рицарят на бялата дама,10.0
Hell's Kitchen Bulgaria,10.0
MasterChef Bulgaria,10.0
Игри на волята: България,10.0
Mr. X and the Sea,10.0
София – Ден и Нощ,10.0
The Bulgarians,10.0
Starstruck (Bulgarian),10.0
The English Neighbour,10.0
The Voice of Bulgaria,10.0
The Road of Honour,10.0
Vasko da Gama ot selo Rupcha,10.0
Dear Heirs,10.0
The Bachelor bTV,10.0
The Hedgehogs' War,10.0
The Taste of Bulgaria,10.0
Bulgaria Searches for a Talent,10.0
Шоуто на Николаос Цитиридис,10.0
Father's Day,9.5
Seven Hours Difference,9.0
Gospodari Na Efira,9.0
Sunny Beach,9.0
Kantora Mitrani,9.0
The Devil's Throat,8.5
Комиците и приятели,8.5
Бригада Нов дом,8.0
Стани богат,8.0
Do Not Think of Me,8.0
Come Dine with Me (Bulgarian TV Show),8.0
Home for Our Children,8.0
The Farm,8.0
Condominium,7.7
With River at Heart,7.0
Liaisons,7.0
House Arrest,7.0
Survivor BG,6.8
Undercover,6.742
The Hunt for Salamander,6.5
Sofia Residents in Excess,6.2
All Inclusive,6.0
X Factor,6.0
Kato Dve Kapki Voda,6.0
She and he,6.0
War of Letters,5.5
Revolution Z: Sex, Lies and Music,5.0
Полицаите от края на града,5.0
Strawberry Moon,4.3
Glass Home,4.0
Stolen Life,3.1
