Potol Kumar Gaanwala,10.0
Kabadi,10.0
Average Aslam,10.0
Indubala,10.0
Lokkho Praner Sur,10.0
Bachelor Point,10.0
Mon Phagun,10.0
Mission Huntdown,10.0
Dhaka Metro,10.0
420,9.0
Amra 2GayTher,9.0
Murder By The Sea,9.0
Kothao Keu Nei,8.7
Hello!,8.5
Charitraheen,8.5
Rakhi Bandhan,8.5
Ladies and Gentlemen,8.5
Mohanagar,8.3
Pett Kata Shaw,8.278
Kaiser,8.2
Syndicate,8.0
One Suspicious Story,8.0
Murder in the Hills,8.0
Parnashavarir Shaap,8.0
Dark Web,8.0
Gaaner Oparey,8.0
Rahasya Romancha Series,8.0
Ittadi,8.0
Buker Moddhye Agun,8.0
Taqdeer,7.885
Ami Ki Tumi?,7.75
Unoloukik,7.7
Mouchaak,7.7
Shaaticup,7.667
Mandaar,7.6
Myself Allen Swapan,7.5
Feluda Pherot,7.5
Robindronath Ekhane Kawkhono Khete Aashenni,7.0
Mercules,7.0
Rajneeti,7.0
Tiktiki,7.0
Astey Ladies,7.0
Meena,7.0
Hotel Relax,7.0
Encrypted,7.0
The Bengal Scam: Bima Kando,7.0
Guti,7.0
Abar Proloy,7.0
Paanch Phoron,7.0
Karagar,6.65
