Història de Catalunya,10.0
The White Village,10.0
Lo Cartanyà,10.0
El crimen de la guardia urbana,10.0
Mòpies,10.0
Kubala, Moreno i Manchón,10.0
Zoo,9.5
Ventdelplà,9.5
Treufoc,9.0
Òpera en Texans,9.0
BricoHeroes,9.0
Ull per ull,9.0
Merlí,8.617
Polseres vermelles,8.316
Merlí. Sapere Aude,8.3
Plats bruts,8.0
El Judici,8.0
10 + 2,8.0
Jasmine & Jambo,8.0
Polònia,7.7
Cites Barcelona,7.667
Crackòvia,7.5
Cites,7.1
Crims,7.1
Welcome to the Family,7.0
Porca Misèria,7.0
L'última nit del karaoke,7.0
El forense,7.0
Vida privada,7.0
Arròs covat,7.0
The Triplets,6.967
The Hockey Girls,6.917
Alex,6.7
Alguna pregunta més?,6.5
If I Hadn't Met You,6.3
8 al dia,6.0
Tornarem,6.0
Ermessenda,5.2
Night and Day,5.1
Infidels,5.0
Invizimals,4.75
El Cor de la Ciutat,4.5
The Living NEET,4.5
Moebius,4.0
Scruff,4.0
Jet Lag,2.0
Eufòria,2.0
La Plaça del Diamant,2.0
Crazy for Molière,2.0
Temps de silenci,0.0
