Штурм,10.0
Untouched,10.0
Ukraine's Got Talent,10.0
Клуб поганого дня,10.0
Snowdrop,10.0
Полкан,10.0
Зв'язок,10.0
Ботоферма,10.0
Одна родина. Весілля,10.0
A Crime with Many Unknowns,10.0
Flash,10.0
Зв'язок,10.0
Штурм,10.0
Once Upon a Time Near Poltava,9.5
World Inside Out,9.0
I Am Hope,9.0
Останній москаль,8.0
There Will Be People,8.0
Червоний ренесанс,8.0
Гетьман,8.0
Heads and Tails,8.0
X-Factor,8.0
To Catch the Kaidash,7.9
Early Swallows,7.75
Козаки. Абсолютно брехлива історія,7.5
Хазяїн,7.4
Servant of the People,7.308
Село на мільйон,7.0
The Bachelorette,7.0
Vidbir,7.0
Леся + Рома,7.0
Віталька,7.0
Patron the Dog,7.0
The New One,7.0
Hide and Seek,6.4
#@)₴?$0  with Michael Shchur,5.5
School,5.5
The Bachelor,5.0
Sex, Insta & ZNO,3.0
Bucket,2.0
Виходьте без дзвінка,2.0
My favorite Strashko,1.5
Супермодель по-українськи,0.0
Прокурори,0.0
Eskimo Girl,0.0
Kyiv Day and Night,0.0
SV-show,0.0
To See the Rainbow...,0.0
Сліпа,0.0
Roxelana,0.0
