Title = Scooby-Doo!: Behind the Scenes, rating = 10.0
Title = Tyler Perry's Zatima, rating = 10.0
Title = Delirium, rating = 10.0
Title = Dog's Most Wanted, rating = 10.0
Title = The Reaping, rating = 10.0
Title = LOL: Last One Laughing Colombia, rating = 10.0
Title = Driven, rating = 10.0
Title = Dateline on ID, rating = 10.0
Title = Steel Buddies, rating = 10.0
Title = Teen Choice Awards, rating = 10.0
Title = Ghost Hunters: TAPS Returns, rating = 10.0
Title = Bring The Soul: Docu-Series, rating = 10.0
Title = Scooby Doo! Mystery Cases, rating = 10.0
Title = Lost village, rating = 10.0
Title = Busty Princess Hypnosis, rating = 10.0
Title = Sweet Home Sextuplets, rating = 10.0
Title = Al Kherbah, rating = 10.0
Title = Tensou Sentai Goseiger, rating = 10.0
Title = Scott the Woz, rating = 10.0
Title = Slunečná, rating = 10.0
Title = Legend of Awakening, rating = 10.0
Title = The Wonderland Murders, rating = 10.0
Title = Zoom, rating = 10.0
Title = The History of Rock 'n' Roll, rating = 10.0
Title = Young MacGyver, rating = 10.0
Title = Cuts, rating = 10.0
Title = The Heights, rating = 10.0
Title = 港時間, rating = 10.0
Title = Sevdam Alabora, rating = 10.0
Title = Curiosity Shop, rating = 10.0
Title = Stray Kids, rating = 10.0
Title = Art Attack: Challenge Mode, rating = 10.0
Title = Akkara Kazhchakal, rating = 10.0
Title = Break the Silence: Docu-Series, rating = 10.0
Title = Go! Greenman, rating = 10.0
Title = Binny and the Ghost, rating = 10.0
Title = Jun and Jun, rating = 10.0
Title = Oide yo! Mizuryuu Kei Land, rating = 10.0
Title = In Touch with Dr. Charles Stanley, rating = 10.0
Title = Hime-sama Love Life!, rating = 10.0
Title = My Crazy Ex, rating = 10.0
Title = 90 Day Fiancé: Love in Paradise, rating = 10.0
Title = Aoi: Tokugawa Three Generations, rating = 10.0
Title = Hitman's Curse, rating = 10.0
Title = Rock Me Baby, rating = 10.0
Title = Bodyguards, rating = 10.0
Title = Até o Fim - Flamengo Campeão da Libertadores 2019, rating = 10.0
Title = Radio Disney Music Awards, rating = 10.0
Title = バカリズムの大人のたしなみズム, rating = 10.0
Title = USA High, rating = 10.0
