Title = Delirium, rating = 10.0
Title = Dog's Most Wanted, rating = 10.0
Title = The Reaping, rating = 10.0
Title = Bring The Soul: Docu-Series, rating = 10.0
Title = Al Kherbah, rating = 10.0
Title = Tensou Sentai Goseiger, rating = 10.0
Title = The Wonderland Murders, rating = 10.0
Title = Sevdam Alabora, rating = 10.0
Title = Stray Kids, rating = 10.0
Title = Binny and the Ghost, rating = 10.0
Title = Oide yo! Mizuryuu Kei Land, rating = 10.0
Title = My Crazy Ex, rating = 10.0
Title = Até o Fim - Flamengo Campeão da Libertadores 2019, rating = 10.0
Title = Radio Disney Music Awards, rating = 10.0
Title = バカリズムの大人のたしなみズム, rating = 10.0
Title = Beauties in the Closet, rating = 10.0
Title = Neo Ultra Q, rating = 10.0
Title = Power Rangers Dino Force Brave, rating = 10.0
Title = Say Yes to the Dress: Bridesmaids, rating = 10.0
Title = Channel Soshi, rating = 10.0
Title = Другие, rating = 10.0
Title = $100 Makeover, rating = 10.0
Title = 疯味英雄.Beyond.the.worlds, rating = 10.0
Title = The Slave Mother, rating = 10.0
Title = Fatal Experiments: The Downfall of a Supersurgeon, rating = 10.0
Title = Qin's Moon: The Great Wall, rating = 10.0
Title = Fırıldak Ailesi, rating = 10.0
Title = Married to Jonas, rating = 10.0
Title = The Way We Were, rating = 10.0
Title = Mega Man: Fully Charged, rating = 10.0
Title = In Search of Monsters, rating = 10.0
Title = Secrets of the Castle, rating = 10.0
Title = 一志相伝～受け継がれる職人の心～, rating = 10.0
Title = MTV Undressed, rating = 10.0
Title = Lindsay Lohan's Beach Club, rating = 10.0
Title = Kyoto Romance: An Eternal Story, rating = 10.0
Title = Ghost Finders, rating = 10.0
Title = Boku to Joi no Shinsatsu Nisshi The Animation, rating = 10.0
Title = Wanna Have A Good Time, rating = 10.0
Title = The Underground Kings, rating = 10.0
Title = New Atashinchi, rating = 10.0
Title = Marriage Cuisine, rating = 10.0
Title = Vänligen: Lars Lerin, rating = 10.0
Title = Conexão Models, rating = 10.0
Title = Zyuden Sentai Kyoryuger, rating = 10.0
Title = The Fierce Wife 2018, rating = 10.0
Title = EXO's Showtime, rating = 10.0
Title = Japan with Sue Perkins, rating = 10.0
Title = Watashi ga Toriko ni Natte Yaru, rating = 10.0
Title = Une espèce à part, rating = 10.0
