Title = Μηχανή του Χρόνου, popularity = 9.5
Title = The King's Doctor, popularity = 8.3
Title = Michael Strogoff, popularity = 7.6
Title = I dieci comandamenti, popularity = 7.0
Title = Quentin Durward, popularity = 6.0
Title = Abenteuer Bundesrepublik, popularity = 0.0
Title = Unter den Linden – Das Haus Gravenhorst, popularity = 0.0
Title = So lebten sie alle Tage, popularity = 0.0
Title = Interview mit der Geschichte, popularity = 0.0
Title = And the Beat Goes On: The Sonny and Cher Story, popularity = 0.0
Title = The Great British Story: Regional Histories, popularity = 0.0
Title = Národ sobě, popularity = 0.0
