Title = Binny and the Ghost, popularity = 10.0
Title = Beauties in the Closet, popularity = 10.0
Title = Zyuden Sentai Kyoryuger, popularity = 10.0
Title = Taiyo Sentai Sun Vulcan, popularity = 10.0
Title = Denshi Sentai Denjiman, popularity = 10.0
Title = Teenage Mutant Ninja Turtles: SuperMan Legend, popularity = 10.0
Title = Freaks!, popularity = 10.0
Title = Jetter Mars, popularity = 10.0
Title = Hakugei: Legend of the Moby Dick, popularity = 10.0
Title = You Only Live Twice, popularity = 10.0
Title = Ultra Q: Dark Fantasy, popularity = 10.0
Title = Cellphone Investigator 7, popularity = 10.0
Title = Megaloman, popularity = 10.0
Title = Shoebox Zoo, popularity = 10.0
Title = Deep Six, popularity = 10.0
Title = Golden Girls 3033, popularity = 10.0
Title = State of Syn, popularity = 10.0
Title = Twinkling Watermelon, popularity = 10.0
Title = SD Gundam Force, popularity = 10.0
Title = Power Rangers HyperForce, popularity = 10.0
Title = As Flowers Fade and Fly Across The Sky, popularity = 10.0
Title = The Pact, popularity = 10.0
Title = Kishiryu Sentai Ryusoulger: The Legacy of The Master's Soul, popularity = 10.0
Title = Brace: The Series, popularity = 10.0
Title = Castlevania: Hymn of Blood, popularity = 10.0
Title = The Spirit of Love, popularity = 10.0
Title = Dice Actors, popularity = 10.0
Title = Critical Role, popularity = 10.0
Title = Heroic Journey of Nezha, popularity = 10.0
Title = The Wayward Guide for the Untrained Eye, popularity = 10.0
Title = The Adventures of Dudley the Dragon, popularity = 10.0
Title = Godzilla Tales, popularity = 10.0
Title = Narrative Telephone, popularity = 10.0
Title = The Finder, popularity = 10.0
Title = DarkTyme: Stories from the Future, popularity = 10.0
Title = Tale of the Ancient Snake, popularity = 10.0
Title = Interster, popularity = 10.0
Title = Justice Bao, popularity = 10.0
Title = GameKeepers, popularity = 10.0
Title = The Invaders, popularity = 10.0
Title = Mission Genesis, popularity = 10.0
Title = VS Knight Lamune & 40 Fire, popularity = 10.0
Title = Midnight Madness Hosted by Elvira, popularity = 10.0
Title = Wake Up, popularity = 10.0
Title = Life Force, popularity = 10.0
Title = Galileo: Awakened Universe, popularity = 10.0
Title = Grimmsberg, popularity = 10.0
Title = Love in Black Hole, popularity = 10.0
Title = Split, popularity = 10.0
Title = The Sword and the Chess of Death, popularity = 10.0
