Història de Catalunya,ca,10,00
The White Village,ca,10,00
Lo Cartanyà,ca,10,00
El crimen de la guardia urbana,ca,10,00
Mòpies,ca,10,00
"Kubala, Moreno i Manchón",ca,10,00
Zoo,ca,9,50
Ventdelplà,ca,9,50
Treufoc,ca,9,00
Òpera en Texans,ca,9,00
BricoHeroes,ca,9,00
Ull per ull,ca,9,00
Merlí,ca,8,62
Polseres vermelles,ca,8,32
Merlí. Sapere Aude,ca,8,30
Plats bruts,ca,8,00
El Judici,ca,8,00
10 + 2,ca,8,00
Jasmine & Jambo,ca,8,00
Polònia,ca,7,70
Cites Barcelona,ca,7,67
Crackòvia,ca,7,50
Cites,ca,7,10
Crims,ca,7,10
Welcome to the Family,ca,7,00
Porca Misèria,ca,7,00
L'última nit del karaoke,ca,7,00
El forense,ca,7,00
Vida privada,ca,7,00
Arròs covat,ca,7,00
The Triplets,ca,6,97
The Hockey Girls,ca,6,92
Alex,ca,6,70
Alguna pregunta més?,ca,6,50
If I Hadn't Met You,ca,6,30
8 al dia,ca,6,00
Tornarem,ca,6,00
Ermessenda,ca,5,20
Night and Day,ca,5,10
Infidels,ca,5,00
Invizimals,ca,4,75
El Cor de la Ciutat,ca,4,50
The Living NEET,ca,4,50
Moebius,ca,4,00
Scruff,ca,4,00
Jet Lag,ca,2,00
Eufòria,ca,2,00
La Plaça
