Mother and Son,10.0
Τυφλόμυγα,10.0
Παραμύθι... Αλλιώς,10.0
Οι Μάγισσες Της Σμύρνης,10.0
Pagidevmenoi,10.0
Ανίσχυρα Ψεύδη,10.0
The Notary,10.0
Murders on the Belfry,10.0
Ακυβέρνητες Πολιτείες,10.0
Στο Γηροκομείο με τον Ηλία Ψινάκη,10.0
Έρωτας Μετά,10.0
Μόλις Χθες,10.0
Η Αγάπη Άργησε Μια Μέρα,10.0
ΚΡΑ,10.0
Couples That Made History,10.0
Malista, Chef!,10.0
[Κ12] Φως Στο Τούνελ,10.0
Πρόσωπα,10.0
Camping,10.0
Αυτή η Νύχτα Μένει,10.0
ANNE-ΜΗΤΕΡΑ,10.0
An imoun plousios,10.0
Σκορπιός,10.0
Οι Δικηγόροι της Αθήνας,10.0
ΠΙΣΩ ΑΠΟ ΤΑ ΚΑΓΚΕΛΑ,10.0
Murders on the Belfry,10.0
Gnosi S' Afton,10.0
Mama's Cake,9.6
Μηχανή του Χρόνου,9.5
Murders on the Belfry,9.5
Συμπέθεροι Απ' Τα Τίρανα,9.5
Music Box,9.3
Sasmos,9.0
Βελούδο από μετάξι,9.0
Κανείς Δε Λέει Σ' Αγαπώ,9.0
Και Οι Παντρεμένοι Έχουν Ψυχή,9.0
Survivor Greece,9.0
Αέρινες Σιωπές,9.0
About Freedom: 200 Years Since the Greek Revolution,9.0
Μυστικά & Λάθη,9.0
Όσο έχω εσένα,9.0
Έλλη και Άννα,9.0
Επιφάνεια,9.0
Για την καρδιά ενός αγγέλου,9.0
Σπίτι είναι...,9.0
Ιωάννα της καρδιάς,9.0
Μη Φοβάσαι τη Φωτιά,9.0
Ο Παραμυθάς,9.0
Χορεύοντας στη σιωπή,9.0
...Ύστερα Ήρθαν οι Μέλισσες,9.0
