Selamanya Suri Cinta,10.0
Gol & Gincu The Series,10.0
Rumah Siti Khadijah,10.0
Isteri Tuan Ihsan,10.0
Sayang Tak Dikenang,10.0
Ku Punya Hati,10.0
Bidadari Cemetery,10.0
Nenda,10.0
Biarkan Ia Pergi,10.0
Aku Tanpa Cintamu,10.0
Suri Hati Mr Pilot,10.0
Projek: Anchor SPM,10.0
Sentuhan Najwa,10.0
Klik! Pengantin Musim Salju,10.0
Risik Pada Hati,10.0
Sepahtu Reunion Al Puasa,10.0
Pembancuh Kopi Mr Vampire,10.0
Mencintaimu Mr Photographer,9.0
Wasiat Dari Jordan,9.0
Wasiat Dari Jordan,9.0
All Stars Buka Panggung,9.0
Demi Rindumu,9.0
Keluarga Iskandar,9.0
Projek: High Council,9.0
The House on Autumn Hill,9.0
Maharaja Lawak Mega,9.0
I Can See Your Voice,9.0
Anak-Anak Sidek,9.0
Travelawak: Projek Bapak Bapak,9.0
Penunggu Gunung Raya,9.0
Wasiat Dari Jordan,9.0
Hijrah Jannah,8.9
Suamiku Mr Blind,8.0
Kisah Cinta Kita,8.0
Hantu Van Sewa,8.0
Cikgu Terpaling A!,8.0
Sihir,8.0
Perempuan Itu,8.0
One Million Dollar Voice,8.0
Perception,8.0
Hero Seorang Cinderella,8.0
AI.5YA,8.0
Mega Spontan,8.0
Black,8.0
Jozan Live,8.0
Terima Aku Seadanya,8.0
Pia,8.0
Ejen Ali,7.8
BoBoiBoy Galaxy,7.667
Rimba Racer,7.5
