Milionerzy,10.0
Na krawędzi,10.0
Hijacking Baltazar Gąbka,10.0
Kanapowcy,10.0
Sąsiedzi,10.0
1000 złych uczynków,10.0
U Pana Boga w ogródku - 4 pory roku,9.5
Our Century,9.0
Crack / System,9.0
Szkoła,9.0
Bolek i Lolek wyruszają w świat,9.0
Zdrady,9.0
Zima w Wiklinowej Zatoce,9.0
Sonda,9.0
Ciężarówką przez Indonezję,9.0
Dziewczyna i chłopak,9.0
Barefoot Around the World,8.7
A Minute of Silence,8.7
Hitchhiker's Guide to Kolyma,8.5
Dekalog,8.479
The Convict,8.455
Kuchenne rewolucje,8.3
Alternatywy 4,8.278
Ekstradycja,8.2
Artists,8.2
Converts,8.0
Infamy,8.0
Clouds of War,8.0
Przygody pana Michała,8.0
Days of Honor - Powstanie,8.0
Diagnosis,8.0
Enchanted Pencil,8.0
Królestwo kobiet,8.0
Nauka Jazdy,8.0
Ziemia obiecana,8.0
Bolek i Lolek w Europie,8.0
Zabawy Bolka i Lolka,8.0
Pogranicze w ogniu,8.0
Czas,8.0
25 Years Of Innocence. The Case of Tomek Komenda,8.0
Inde : New-Dehli, la planète des singes,8.0
Nights and Days,8.0
Backdoor. Wyjście awaryjne,8.0
Tajna historia XX wieku,8.0
Głęboka woda,8.0
Hotel pod żyrafą i nosorożcem,8.0
Policjantki i policjanci,8.0
Ukraine. The Birth of a Nation,8.0
Nad Niemnem,8.0
Powrót do Wiklinowej Zatoki,8.0
