The Village Is Burning, and the Grandmother Is Combing Her Hair,10.0
Wounded Eagle,10.0
The Roots,10.0
Flat Hill,10.0
Salaš u Malom Ritu,10.0
Military Academy,10.0
The Sindjelic Family,9.5
Once Upon a Time There Was a Country,9.2
My Cousin from the Village,9.0
Tycoon,9.0
Hotel Balkan,9.0
Air Bridge,9.0
The Jagodic Family,9.0
South Wind,8.5
The Clan,8.5
Black Gruya,8.5
Bones,8.5
Dream Team,8.5
Marked in the Restricted Area,8.5
My Father's Murderers,8.469
Black Sun,8.3
Flesh,8.3
The Storks Will Return,8.286
Mom and Dad Are Playing War,8.2
Andrija and Andjelka,8.0
Montevideo, God Bless You!,8.0
United Brothers,8.0
Black Wedding,8.0
Awake,8.0
Bad Blood,8.0
Once upon a time in Serbia,8.0
White Ship,8.0
Professor Miskovic's Notebook,8.0
Priest's Wife,8.0
Delirium Tremens,8.0
The State Job,7.8
Civil Servant,7.8
The Group,7.7
Open Doors,7.5
Morning Changes Everything,7.333
Besa,7.3
Tajna vinove loze,7.3
Love, Habit, Panic,7.0
Five,7.0
Walking with a Lion,7.0
In the Clinch,7.0
Professor Kosta Vujic's Hat,7.0
Trail of the Beast,7.0
Kingdom of Yugoslavia in World War II,7.0
Underneath,6.7
