Штурм,uk,10,00
Untouched,uk,10,00
Ukraine's Got Talent,uk,10,00
Клуб поганого дня,uk,10,00
Snowdrop,uk,10,00
Полкан,uk,10,00
Зв'язок,uk,10,00
Ботоферма,uk,10,00
Одна родина. Весілля,uk,10,00
A Crime with Many Unknowns,uk,10,00
Flash,uk,10,00
Зв'язок,uk,10,00
Штурм,uk,10,00
Once Upon a Time Near Poltava,uk,9,50
World Inside Out,uk,9,00
I Am Hope,uk,9,00
Останній москаль,uk,8,00
There Will Be People,uk,8,00
Червоний ренесанс,uk,8,00
Гетьман,uk,8,00
Heads and Tails,uk,8,00
X-Factor,uk,8,00
To Catch the Kaidash,uk,7,90
Early Swallows,uk,7,75
Козаки. Абсолютно брехлива історія,uk,7,50
Хазяїн,uk,7,40
Servant of the People,uk,7,31
Село на мільйон,uk,7,00
The Bachelorette,uk,7,00
Vidbir,uk,7,00
Леся + Рома,uk,7,00
Віталька,uk,7,00
Patron the Dog,uk,7,00
The New One,uk,7,00
Hide and Seek,uk,6,40
#@)₴?$0  with Michael Shchur,uk,5,50
School,uk,5,50
