Title = Tyler Perry's Zatima , Rating = 10.0
Title = Delirium , Rating = 10.0
Title = Dog's Most Wanted , Rating = 10.0
Title = The Reaping , Rating = 10.0
Title = LOL: Last One Laughing Colombia , Rating = 10.0
Title = Dateline on ID , Rating = 10.0
Title = Steel Buddies , Rating = 10.0
Title = Teen Choice Awards , Rating = 10.0
Title = Ghost Hunters: TAPS Returns , Rating = 10.0
Title = Scooby Doo! Mystery Cases , Rating = 10.0
Title = Sweet Home Sextuplets , Rating = 10.0
Title = The Wonderland Murders , Rating = 10.0
Title = Young MacGyver , Rating = 10.0
Title = The Heights , Rating = 10.0
Title = 港時間 , Rating = 10.0
Title = Art Attack: Challenge Mode , Rating = 10.0
Title = My Crazy Ex , Rating = 10.0
Title = 90 Day Fiancé: Love in Paradise , Rating = 10.0
Title = Hitman's Curse , Rating = 10.0
Title = Bodyguards , Rating = 10.0
Title = バカリズムの大人のたしなみズム , Rating = 10.0
Title = Moonshiners: Master Distiller , Rating = 10.0
Title = Min sanning , Rating = 10.0
Title = Billboard Music Awards , Rating = 10.0
Title = Сеструха , Rating = 10.0
Title = T.I. & Tiny: Friends & Family Hustle , Rating = 10.0
Title = Say Yes to the Dress: Bridesmaids , Rating = 10.0
Title = Talk , Rating = 10.0
Title = Esaret , Rating = 10.0
Title = Pathways of Japan , Rating = 10.0
Title = Act Your Age , Rating = 10.0
Title = The Life Of A Creator , Rating = 10.0
Title = Team Dronix , Rating = 10.0
Title = Rest Home , Rating = 10.0
Title = 一志相伝～受け継がれる職人の心～ , Rating = 10.0
Title = Kyoto Romance: An Eternal Story , Rating = 10.0
Title = Ghost Finders , Rating = 10.0
Title = Wanna Have A Good Time , Rating = 10.0
Title = Weekend Gokuraku Travellers , Rating = 10.0
Title = Asia Express , Rating = 10.0
Title = Psychedelica , Rating = 10.0
Title = Love & Marriage: DC , Rating = 10.0
Title = These Woods Are Haunted , Rating = 10.0
Title = Marriage Cuisine , Rating = 10.0
Title = Колотушка , Rating = 10.0
Title = Murder Comes Home , Rating = 10.0
Title = Fazendas Históricas , Rating = 10.0
Title = Пять минут тишины , Rating = 10.0
Title = Brat Loves Judy , Rating = 10.0
Title = Tetya Marta , Rating = 10.0
