Title = Tagesschau, popularity = 3049.228
Title = Alliance, popularity = 2071.972
Title = Binnelanders, popularity = 1977.475
Title = Tozluyaka, popularity = 1968.201
Title = Fuzuê, popularity = 1666.554
Title = Iyilik, popularity = 1125.548
Title = Ahsoka, popularity = 954.747
Title = Lisa, popularity = 872.901
Title = 2024, popularity = 841.894
Title = STAT, popularity = 833.482
Title = Strawberry, popularity = 822.91
Title = NCIS, popularity = 754.614
Title = Suits, popularity = 745.23
Title = Farma, popularity = 715.12
Title = روح, popularity = 684.074
Title = Doctors, popularity = 666.753
Title = Emmerdale, popularity = 565.52
Title = Hollyoaks, popularity = 559.35
Title = EastEnders, popularity = 539.491
Title = Brothers, popularity = 456.394
Title = Jeopardy!, popularity = 445.503
Title = Yellowstone, popularity = 442.49
Title = Supernatural, popularity = 439.934
Title = Imlie, popularity = 437.356
Title = 反击罗曼史, popularity = 426.947
Title = S.W.A.T., popularity = 420.779
Title = Lucifer, popularity = 416.668
Title = Dragnet, popularity = 400.53
Title = Bakugan, popularity = 378.031
Title = Scoop, popularity = 373.832
Title = M*A*S*H, popularity = 370.645
Title = Ridiculousness, popularity = 327.691
Title = Cops, popularity = 324.345
Title = Bones, popularity = 304.742
Title = Vikings, popularity = 294.196
Title = Titlie, popularity = 286.851
Title = Bleach, popularity = 284.738
Title = Backdoor, popularity = 283.749
Title = Loki, popularity = 276.759
Title = Shameless, popularity = 271.993
Title = Overflow, popularity = 262.133
Title = Mastermind, popularity = 256.742
Title = MacGyver, popularity = 255.486
Title = 冰上火花, popularity = 249.733
Title = Invasion, popularity = 246.379
Title = Smallville, popularity = 243.557
Title = House, popularity = 239.575
Title = 9/1/2001, popularity = 239.165
Title = Monster, popularity = 237.303
Title = Dexter, popularity = 227.846
