topRating{title='Scooby-Doo!: Behind the Scenes', rating=10.0}
topRating{title='Tyler Perry's Zatima', rating=10.0}
topRating{title='Delirium', rating=10.0}
topRating{title='Dog's Most Wanted', rating=10.0}
topRating{title='The Reaping', rating=10.0}
topRating{title='LOL: Last One Laughing Colombia', rating=10.0}
topRating{title='Driven', rating=10.0}
topRating{title='Dateline on ID', rating=10.0}
topRating{title='Steel Buddies', rating=10.0}
topRating{title='Teen Choice Awards', rating=10.0}
topRating{title='Ghost Hunters: TAPS Returns', rating=10.0}
topRating{title='Bring The Soul: Docu-Series', rating=10.0}
topRating{title='Scooby Doo! Mystery Cases', rating=10.0}
topRating{title='Lost village', rating=10.0}
topRating{title='Busty Princess Hypnosis', rating=10.0}
topRating{title='Sweet Home Sextuplets', rating=10.0}
topRating{title='Al Kherbah', rating=10.0}
topRating{title='Tensou Sentai Goseiger', rating=10.0}
topRating{title='Scott the Woz', rating=10.0}
topRating{title='Slunečná', rating=10.0}
topRating{title='Legend of Awakening', rating=10.0}
topRating{title='The Wonderland Murders', rating=10.0}
topRating{title='Zoom', rating=10.0}
topRating{title='The History of Rock 'n' Roll', rating=10.0}
topRating{title='Young MacGyver', rating=10.0}
topRating{title='Cuts', rating=10.0}
topRating{title='The Heights', rating=10.0}
topRating{title='港時間', rating=10.0}
topRating{title='Sevdam Alabora', rating=10.0}
topRating{title='Curiosity Shop', rating=10.0}
topRating{title='Stray Kids', rating=10.0}
topRating{title='Art Attack: Challenge Mode', rating=10.0}
topRating{title='Akkara Kazhchakal', rating=10.0}
topRating{title='Break the Silence: Docu-Series', rating=10.0}
topRating{title='Go! Greenman', rating=10.0}
topRating{title='Binny and the Ghost', rating=10.0}
topRating{title='Jun and Jun', rating=10.0}
topRating{title='Oide yo! Mizuryuu Kei Land', rating=10.0}
topRating{title='In Touch with Dr. Charles Stanley', rating=10.0}
topRating{title='Hime-sama Love Life!', rating=10.0}
topRating{title='My Crazy Ex', rating=10.0}
topRating{title='90 Day Fiancé: Love in Paradise', rating=10.0}
topRating{title='Aoi: Tokugawa Three Generations', rating=10.0}
topRating{title='Hitman's Curse', rating=10.0}
topRating{title='Rock Me Baby', rating=10.0}
topRating{title='Bodyguards', rating=10.0}
topRating{title='Até o Fim - Flamengo Campeão da Libertadores 2019', rating=10.0}
topRating{title='Radio Disney Music Awards', rating=10.0}
topRating{title='バカリズムの大人のたしなみズム', rating=10.0}
topRating{title='USA High', rating=10.0}
